Underlying / Future,Trading Unit/Lotsize,Profit/Loss for every 1 Rupee Movement of Underlying
ALUMINI,1 MT,1000
ALUMINIUM,5 MT,5000
BRENTCRUDE,100 BBL,100
COPPER,1 MT,1000
COPPERM,250 KGS,250
CRUDEOIL,100 BBL,100
CRUDEOILM,10 BBL,10
GOLD,1 KG,100
GOLDGUINEA,8 GRAMS,1
GOLDM,100GRAMS,10
GOLD GLOBAL,200GRAMS,20
GOLDPETAL,1 GRAM,1
GOLDPTLDEL,1 GRAM,1
LEAD,5 MT,5000
LEADMINI,1 MT,1000
NATURALGAS,1250MMBTU,1250
NICKEL,250 KGS,250
NICKELM,100 KGS,100
SILVER,30 KGS,30
SILVER1000,1 KGS,1
SILVERM,5 KGS,5
SILVERMIC,1 KG,1
ZINC,5 MT,5000
ZINCMINI,1 MT,1000
CARDAMOM,100 KGS,100
COTTON,25 BALES,25
CPO,10 MT,1000
KAPAS,4 MT,200
MENTHAOIL,360 KGS,360